"id";"Libellé";"Catégorie";"Marque";"Prix d'achat HT";"Fournisseur";"Ref. fournisseur";"Prix de vente";"Taxe";"Code-barres";"Type de déclinaison";"Prix soldé";"Emplacement";"Référence externe";"Compte comptable";"points +";"points -";"Affichable";"En ligne";"Image";"Stock";"Catégorie";"Poids";"Libellé court"
"92";"FARINE DE POIS CHICHE BIO";"VRAC";"N/A";"0.00450";"Du bio dans l'assiette";"";"0.00617";"0.05500";"2430000000928";"";"0.00522";"";"Mirepoix";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"FARINE DE POIS CHICHE"
"93";"FARINE SEIGLE T80 BIO";"VRAC";"N/A";"0.00220";"Du bio dans l'assiette";"";"0.00302";"0.05500";"2430000000935";"";"0.00255";"";"Mirepoix";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"FARINE SEIGLE T80"
"94";"FARINE SARRASIN BIO";"VRAC";"N/A";"0.00350";"Du bio dans l'assiette";"";"0.00480";"0.05500";"2430000000942";"";"0.00406";"";"Mirepoix";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"FARINE SARRASIN"
"95";"LENTILLES VERTES BIO";"VRAC";"N/A";"0.00395";"Du bio dans l'assiette";"";"0.00542";"0.05500";"2430000000959";"";"0.00458";"";"Mirepoix";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"LENTILLES VERTES"
"97";"POIS CHICHE BIO";"VRAC";"N/A";"0.00315";"Du bio dans l'assiette";"";"0.00432";"0.05500";"2430000000973";"";"0.00366";"";"Mirepoix";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"POIS CHICHE"
"104";"HUILE DE CAMELINE 25CL";"Epicerie sec";"N/A";"5.10000";"Du bio dans l'assiette";"";"6.99000";"0.05500";"2430000001048";"";"5.92000";"";"Mirepoix";"";"0";"0";"1";"0";"";"";"Epicerie sec";"250.00";"HUILE DE CAMELINE"
"105";"HUILE DE TOURNESOL BIO 5L";"Epicerie sec";"N/A";"24.50000";"Du bio dans l'assiette";"";"33.60000";"0.05500";"2430000001055";"";"28.45000";"";"Mirepoix";"";"0";"0";"1";"0";"";"";"Epicerie sec";"5000.00";"HUILE DE TOURNESOL"
"106";"HUILE DE TOURNESOL 75CL";"Epicerie sec";"N/A";"5.90000";"Du bio dans l'assiette";"";"8.09000";"0.05500";"2430000001062";"";"6.85000";"";"Mirepoix";"";"0";"0";"1";"0";"";"";"Epicerie sec";"750.00";"HUILE DE TOURNESOL"
"108";"AMANDE CUISINE (20CL) LIMA";"Epicerie sec";"N/A";"0.91000";"Relais Vert";"";"1.25000";"0.05500";"5411788048958";"";"1.06000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"200.00";"AMANDE CUISINE"
"109";"AVOINE CUISINE (20CL) LIMA";"Epicerie sec";"N/A";"0.88000";"Relais Vert";"";"1.21000";"0.05500";"5411788045612";"";"1.02000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"200.00";"AVOINE CUISINE "
"110";"BICARBONATE DE SOUDE TECHNIQUE (1KG) MAISON PINSON";"Hygiene";"N/A";"2.32000";"Relais Vert";"";"3.62000";"0.20000";"3520831630698";"";"3.06000";"";"";"";"0";"0";"1";"0";"";"";"Hygiene";"1000.00";"BICARBONATE DE SOUDE"
"111";"BOISSON AU SOJA NATURE (1L) BIO POUR TOUS";"Epicerie sec";"N/A";"1.41000";"Relais Vert";"";"1.93000";"0.05500";"3760295171089";"";"1.64000";"";"";"";"0";"0";"1";"0";"";"";"Epicerie sec";"1000.00";"BOISSON AU SOJA NATURE"
